City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
164,pisco,100,PE,1580454312,88,-13.7,-76.22,72.0,5.82
165,buchanan,40,LR,1580454312,100,5.88,-10.05,75.2,1.14
166,hirara,20,JP,1580454312,42,24.8,125.28,62.6,12.75
167,chuy,78,UY,1580454312,92,-33.7,-53.46,65.44,6.78
168,carnarvon,0,AU,1580454313,44,-24.87,113.63,78.8,21.92
169,humberto de campos,100,BR,1580454313,87,-2.6,-43.46,77.56,5.41
170,namibe,100,AO,1580454313,92,-15.2,12.15,76.06,10.33
171,krasnoselkup,84,RU,1580454313,96,65.7,82.47,-24.3,5.88
172,ilulissat,6,GL,1580454314,70,69.22,-51.1,-2.2,4.7
173,qaanaaq,84,GL,1580454314,95,77.48,-69.36,-23.15,3.94
174,georgetown,20,MY,1580454107,62,5.41,100.34,87.8,5.82
175,taltal,0,CL,1580454314,89,-25.4,-70.48,60.06,4.27
176,kenora,90,CA,1580454314,92,49.82,-94.43,23.0,3.36
177,conceicao do araguaia,71,BR,1580454315,96,-8.26,-49.26,72.41,1.5
178,comodoro rivadavia,19,AR,1580454315,72,-45.87,-67.5,59.0,5.82
179,les cayes,0,HT,1580454315,73,18.2,-73.75,78.48,8.79
180,goundam,0,ML,1580454315,19,16.41,-3.67,64.65,11.59
181,waipawa,39,NZ,1580454153,77,-41.41,175.52,68.0,25.28
182,hasaki,20,JP,1580454105,29,35.73,140.83,50.0,27.51
183,olafsvik,0,IS,1580454316,74,64.89,-23.71,30.33,19.48
184,katsuura,20,JP,1580454316,39,35.13,140.3,52.0,28.86
185,mutoko,97,ZW,1580454316,80,-17.4,32.23,68.11,0.25
186,quatre cocos,75,MU,1580454316,70,-20.21,57.76,84.2,11.41
187,smithers,20,CA,1580454317,86,54.78,-127.17,30.2,4.7
188,maniitsoq,35,GL,1580454322,69,65.42,-52.9,7.95,4.03
189,faanui,100,PF,1580454322,83,-16.48,-151.75,78.89,6.24
190,zimovniki,100,RU,1580454322,79,47.15,42.46,36.0,3.24
191,cayenne,75,GF,1580454322,94,4.93,-52.33,77.0,8.05
192,tayu,66,ID,1580454323,77,-6.54,111.05,82.35,11.5
193,bajmok,74,RS,1580454323,62,45.97,19.42,37.15,11.14
194,sault sainte marie,90,CA,1580454165,86,46.52,-84.33,28.4,4.7
195,bozoum,99,CF,1580454304,16,6.32,16.38,65.79,4.94
196,aras,82,ES,1580454324,100,42.56,-2.36,48.99,2.24
197,surab,0,PK,1580454197,43,28.49,66.26,38.89,15.08
198,pangnirtung,96,CA,1580454324,99,66.15,-65.71,-12.06,1.74
199,lompoc,1,US,1580454254,71,34.64,-120.46,57.2,11.45
200,praia da vitoria,75,PT,1580454325,88,38.73,-27.07,62.6,26.8
201,henties bay,85,NA,1580454325,91,-22.12,14.28,63.0,1.99
202,tura,0,IN,1580454180,37,25.52,90.22,76.26,4.83
203,codrington,99,AU,1580454326,81,-38.27,141.97,69.76,23.02
204,te anau,6,NZ,1580454326,57,-45.42,167.72,57.33,9.91
205,asau,100,RO,1580454326,64,46.43,26.4,39.2,5.82
206,meru,16,KE,1580454326,61,0.05,37.66,58.37,4.47
207,virginia beach,1,US,1580454174,81,36.85,-75.98,41.0,12.37
208,qiongshan,20,CN,1580454327,40,20.01,110.35,73.4,13.42
209,sept-iles,20,CA,1580454078,70,50.2,-66.38,-5.8,4.7
210,tulun,99,RU,1580454327,88,54.56,100.58,-1.21,3.85
211,oussouye,2,SN,1580454327,94,12.48,-16.55,68.0,4.7
212,sitka,90,US,1580454327,74,57.05,-135.33,37.4,13.87
213,umm kaddadah,9,SD,1580454328,21,13.6,26.69,58.41,13.13
214,hobyo,100,SO,1580454328,60,5.35,48.53,78.58,19.26
215,mariara,0,VE,1580454328,91,10.3,-67.72,71.47,2.8
216,anadyr,20,RU,1580454328,82,64.75,177.48,-18.0,4.47
217,havelock,1,US,1580454179,75,34.88,-76.9,41.0,8.05
218,tahta,0,EG,1580454329,61,26.77,31.5,50.0,9.17
219,luena,100,AO,1580454329,96,-11.78,19.92,64.24,5.41
220,ancud,90,CL,1580454330,100,-41.87,-73.82,57.2,2.24
221,tonantins,66,BR,1580454330,92,-2.87,-67.8,74.97,1.16
222,alice springs,75,AU,1580454330,46,-23.7,133.88,91.4,17.22
223,ransang,96,PH,1580454330,77,8.96,117.58,80.04,18.81
224,jamestown,90,US,1580454040,79,42.1,-79.24,30.2,3.89
225,san quintin,54,MX,1580454193,63,30.48,-115.95,59.04,4.81
226,zhigansk,100,RU,1580454334,96,66.77,123.37,-8.27,9.04
227,jumla,0,NP,1580454334,50,29.27,82.18,38.12,2.91
